,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
21,0.000259098,0.000459771,0.000792689,0.001327846,0.002161107,0.003417341,0.005250297,0.007837236,0.011366468,0.016016649,0.021928114,0.029168523,0.037697375,0.047335972,0.057750402,0.068454539,0.078837528,0.088215982,0.095905843,0.10130395,0.10396597,0.103666769,0.100431843,0.094533737,0.086454128,0.076818915,0.066318412,0.055626738,0.045333221,0.035894928,0.027614242,0.020640332,0.014989383,0.010576314,0.007250508,0.004829321,0.003125268,0.001965042,0.001200439,0.000712511
22,0.000171255,0.000309194,0.000542378,0.000924394,0.00153072,0.002462735,0.003849666,0.005846717,0.008627491,0.01236917,0.017229793,0.023318634,0.030662649,0.039174165,0.048626538,0.05864493,0.068718095,0.078233953,0.086537223,0.093002399,0.0971111,0.098520615,0.0971111,0.093002399,0.086537223,0.078233953,0.068718095,0.05864493,0.048626538,0.039174165,0.030662649,0.023318634,0.017229793,0.01236917,0.008627491,0.005846717,0.003849666,0.002462735,0.00153072,0.000924394
23,0.000108927,0.000200093,0.000357119,0.000619267,0.001043342,0.001707884,0.002716275,0.004197324,0.006301659,0.009192228,0.013027774,0.017939203,0.024000461,0.031197483,0.039400619,0.048347058,0.05763955,0.066765888,0.075140175,0.082162433,0.087288674,0.090100256,0.090360302,0.088046651,0.083354976,0.076671461,0.068520333,0.059496129,0.050192806,0.041141277,0.032764049,0.025351339,0.019058457,0.013920605,0.009878978,0.006811604,0.004563209,0.002970125,0.00187829,0.001154076
24,6.67E-05,0.000124608,0.000226275,0.000399218,0.000684335,0.001139752,0.001844317,0.002899642,0.004429316,0.006573738,0.0094792,0.013280503,0.018077604,0.023908411,0.030721619,0.038354913,0.046524468,0.054830897,0.062784553,0.069849578,0.075501969,0.079293264,0.080909186,0.080212654,0.077262982,0.072307536,0.06574749,0.05808424,0.049856406,0.041578339,0.033689676,0.026522231,0.020286484,0.015076032,0.010885561,0.007636566,0.005205098,0.003447016,0.002217896,0.001386508
25,3.93E-05,7.47E-05,0.000137965,0.000247659,0.000431939,0.000731937,0.001205061,0.001927647,0.002995917,0.004523925,0.006637195,0.009461005,0.013103083,0.017631662,0.023051358,0.029280824,0.036137126,0.04333187,0.050482956,0.057143342,0.062844898,0.067151842,0.069715501,0.07032088,0.068916428,0.065621287,0.060708604,0.054568155,0.047655366,0.040435971,0.033335537,0.026701187,0.0207796,0.01571185,0.011542529,0.00823869,0.005713456,0.003849666,0.002520176,0.001602958
26,2.23E-05,4.31E-05,8.09E-05,0.000147846,0.000262354,0.000452323,0.000757694,0.001233168,0.001949998,0.002995917,0.004472072,0.006485917,0.009139396,0.012512588,0.016644099,0.02151082,0.027010782,0.032953448,0.039061427,0.044986153,0.050337672,0.054725649,0.057805908,0.059324907,0.059154177,0.057308268,0.0539427,0.049332326,0.043834294,0.037842513,0.031741646,0.025867975,0.02048231,0.015757197,0.011777755,0.008553219,0.00603504,0.004137274,0.0027557,0.001783336
27,1.21E-05,2.39E-05,4.57E-05,8.49E-05,0.000153343,0.000268989,0.000458448,0.000759151,0.001221378,0.001909218,0.002899642,0.004278749,0.006134411,0.008545006,0.011564728,0.015206945,0.019428178,0.024116022,0.029084579,0.034080301,0.03879963,0.042917584,0.046123948,0.048161631,0.048860671,0.048161631,0.046123948,0.042917584,0.03879963,0.034080301,0.029084579,0.024116022,0.019428178,0.015206945,0.011564728,0.008545006,0.006134411,0.004278749,0.002899642,0.001909218
28,6.37E-06,1.28E-05,2.48E-05,4.70E-05,8.62E-05,0.000153933,0.00026693,0.000449723,0.000736168,0.001170826,0.00180922,0.002716275,0.003962229,0.005615507,0.007732535,0.010345187,0.0134474,0.01698329,0.020839574,0.024845021,0.028778848,0.032388511,0.035415393,0.037625015,0.038836922,0.038949013,0.037951734,0.035929428,0.033048558,0.029535086,0.025645283,0.021635167,0.017733585,0.014122655,0.010927471,0.00821498,0.006000354,0.004258246,0.002936082,0.001966931
29,3.22E-06,6.56E-06,1.30E-05,2.50E-05,4.67E-05,8.48E-05,0.00014956,0.000256374,0.000426988,0.000690941,0.0010863,0.001659365,0.002462735,0.003551215,0.004975306,0.006772455,0.008956864,0.011509311,0.01436899,0.017429569,0.020541426,0.023521123,0.026167909,0.028285478,0.02970582,0.030311196,0.030050253,0.02894521,0.02708874,0.024631135,0.021760234,0.018677821,0.01557659,0.012621242,0.009936085,0.007599973,0.005647969,0.004078083,0.002860904,0.001949998
30,1.56E-06,3.24E-06,6.53E-06,1.28E-05,2.43E-05,4.49E-05,8.06E-05,0.000140642,0.000238323,0.000392374,0.000627653,0.000975487,0.001473015,0.002161107,0.003080555,0.004266436,0.005740966,0.007505648,0.009533997,0.011766446,0.014109094,0.016437527,0.018606185,0.020462643,0.021865008,0.022699749,0.022896864,0.022439567,0.021366651,0.019767054,0.01776769,0.015516848,0.013166174,0.010854234,0.008694053,0.006765952,0.005115864,0.003758311,0.002682563,0.001860333
31,7.32E-07,1.54E-06,3.16E-06,6.30E-06,1.22E-05,2.29E-05,4.18E-05,7.42E-05,0.000128005,0.000214423,0.00034898,0.000551839,0.000847828,0.001265572,0.00183548,0.0025864,0.003540995,0.00471019,0.006087446,0.007643906,0.009325648,0.011054173,0.012730839,0.01424529,0.015487064,0.016358761,0.016788629,0.016740313,0.016217931,0.015265493,0.013960782,0.012404869,0.010709227,0.008982715,0.007320498,0.005796384,0.004459202,0.003333041,0.002420515,0.001707884
32,3.29E-07,7.07E-07,1.47E-06,2.99E-06,5.88E-06,1.12E-05,2.09E-05,3.77E-05,6.62E-05,0.00011276,0.000186721,0.00030041,0.000469591,0.000713196,0.001052402,0.00150882,0.00210173,0.002844461,0.003740302,0.004778556,0.005931579,0.007153646,0.008382394,0.00954316,0.010556013,0.01134465,0.011845839,0.012017775,0.011845839,0.01134465,0.010556013,0.00954316,0.008382394,0.007153646,0.005931579,0.004778556,0.003740302,0.002844461,0.00210173,0.00150882
33,1.43E-07,3.11E-07,6.61E-07,1.36E-06,2.73E-06,5.31E-06,1.00E-05,1.84E-05,3.29E-05,5.71E-05,9.61E-05,0.000157372,0.00025029,0.000386761,0.000580664,0.000847014,0.001200439,0.001653001,0.002211513,0.002874679,0.003630554,0.00445492,0.005311173,0.006152116,0.006923761,0.007570824,0.00804318,0.008302252,0.008326214,0.008113023,0.007680711,0.007064861,0.006313778,0.005482247,0.004624996,0.003790946,0.00301903,0.002335989,0.001756134,0.001282709
34,5.94E-08,1.32E-07,2.85E-07,5.98E-07,1.22E-06,2.41E-06,4.64E-06,8.67E-06,1.57E-05,2.78E-05,4.76E-05,7.93E-05,0.000128374,0.000201831,0.000308304,0.000457568,0.000659803,0.000924394,0.001258298,0.001664154,0.00213839,0.002669708,0.003238353,0.003816525,0.004370143,0.004861906,0.005255343,0.005519238,0.005631715,0.005583232,0.005377919,0.005032993,0.004576379,0.004042976,0.003470274,0.002894076,0.002344983,0.00184609,0.001412048,0.001049373
35,2.38E-08,5.39E-08,1.18E-07,2.53E-07,5.24E-07,1.05E-06,2.06E-06,3.93E-06,7.25E-06,1.30E-05,2.27E-05,3.85E-05,6.34E-05,0.000101355,0.000157524,0.000237865,0.00034898,0.000497454,0.000688952,0.000927062,0.001212027,0.001539569,0.001900069,0.002278364,0.002654364,0.003004563,0.003304348,0.003530804,0.0036656,0.003697431,0.003623585,0.003450329,0.003192023,0.002869162,0.002505691,0.0021261,0.001752763,0.001403933,0.001092579,0.00082612
